title,ref,location,mileage,specs,transmission,engine_capacity,seller_expectation,current_bid,auction_status,auction_end_date,live_time,cache_key,scraped_at
2020 Porsche Cayenne Standard,Ref# 401470,Dubai,"88,438 km",GCC Specs,Automatic,3000 cc,"AED 229,900","AED 149,000",Ended,"Jan 28, 2026  at 5:52 PM",Wednesday at 5:35 PM,2020_Porsche_Cayenne_Standard_Wednesday_535PM,2026-01-28 17:04:04.884982
2024 Toyota Corolla Cross L,Ref# 422485,Abu Dhabi,"38,316 km",GCC Specs,Automatic,1800 cc,"AED 79,500","AED 60,000",Ended,"Jan 28, 2026  at 5:52 PM",Wednesday at 5:32 PM,2024_Toyota_Corolla_Cross_L_Wednesday_532PM,2026-01-28 17:04:16.892951
2018 BMW M3 Standard,Ref# 421119,Dubai,"65,683 km",GCC Specs,Automatic,3000 cc,"AED 177,650","AED 140,000",,,Thursday at 1:45 PM,2018_BMW_M3_Standard_Thursday_145PM,2026-01-29 08:17:53.684928
2019 Dodge Charger GT,Ref# 422295,Dubai,"109,583 km",GCC Specs,Automatic,3600 cc,"AED 84,800",,,,Thursday at 1:41 PM,2019_Dodge_Charger_GT_Thursday_141PM,2026-01-29 08:18:15.297996
2020 Tesla Model S Long Range,Ref# 422220,Abu Dhabi,"181,025 km",GCC Specs,Automatic,100 cc,"AED 100,700","AED 44,000",,,Thursday at 1:36 PM,2020_Tesla_Model_S_Long_Range_Thursday_136PM,2026-01-29 08:18:38.671157
2021 Peugeot Boxer L4h3,Ref# 422382,Abu Dhabi,"137,183 km",GCC Specs,Manual,2200 cc,"AED 33,450","AED 18,000",,,Thursday at 1:35 PM,2021_Peugeot_Boxer_L4h3_Thursday_135PM,2026-01-29 08:18:59.605199
2016 Mercedes-Benz AMG Gt,Ref# 421393,Abu Dhabi,"59,838 km",GCC Specs,Automatic,4000 cc,"AED 240,350","AED 123,000",Ended,"Jan 29, 2026  at 1:40 PM",Thursday at 1:25 PM,2016_MercedesBenz_AMG_Gt_Thursday_125PM,2026-01-29 08:20:31.854788
2021 Nissan Kicks Sv,Ref# 406748,Dubai,"80,996 km",GCC Specs,Automatic,1600 cc,"AED 49,450","AED 27,500",Ended,"Jan 29, 2026  at 1:48 PM",Thursday at 1:30 PM,2021_Nissan_Kicks_Sv_Thursday_130PM,2026-01-29 08:21:34.487862
2017 Nissan Patrol SE,Ref# 411238,Abu Dhabi,"306,835 km",GCC Specs,Automatic,4000 cc,"AED 69,875","AED 41,000",Ended,"Jan 29, 2026  at 1:28 PM",Thursday at 1:10 PM,2017_Nissan_Patrol_SE_Thursday_110PM,2026-01-29 08:21:57.577365
2024 MINI Countryman Cooper S,Ref# 398648,Abu Dhabi,"27,840 km",GCC Specs,Automatic,2000 cc,"AED 135,850","AED 106,000",Ended,"Jan 29, 2026  at 1:23 PM",Thursday at 1:05 PM,2024_MINI_Countryman_Cooper_S_Thursday_105PM,2026-01-29 08:22:24.753058
2012 BMW 5-Series 528i,Ref# 418043,Dubai,"194,653 km",GCC Specs,Automatic,3000 cc,,,,,Thursday at 1:01 PM,2012_BMW_5Series_528i_Thursday_101PM,2026-01-29 08:22:43.242232
2023 Toyota Corolla Cross GLI,Ref# 421949,Dubai,"67,681 km",GCC Specs,Automatic,1800 cc,"AED 95,400","AED 69,000",Ended,"Jan 29, 2026  at 1:10 PM",Thursday at 12:55 PM,2023_Toyota_Corolla_Cross_GLI_Thursday_1255PM,2026-01-29 08:23:22.347487
2019 Mitsubishi Montero Sport Signature Edition,Ref# 423125,Dubai,"109,916 km",GCC Specs,Automatic,3000 cc,"AED 52,675","AED 46,500",Ended,"Jan 29, 2026  at 1:18 PM",Thursday at 12:52 PM,2019_Mitsubishi_Montero_Sport_Signature_Edition_Thursday_1252PM,2026-01-29 08:23:39.133760
2018 Porsche Macan Standard,Ref# 422695,Dubai,"103,758 km",GCC Specs,Automatic,2000 cc,"AED 127,200","AED 74,000",Ended,"Jan 29, 2026  at 1:12 PM",Thursday at 12:49 PM,2018_Porsche_Macan_Standard_Thursday_1249PM,2026-01-29 08:24:26.490036
2023 BMW 5-Series 520i,Ref# 410745,Dubai,"26,802 km",GCC Specs,Automatic,2000 cc,"AED 182,875","AED 117,000",Ended,"Jan 29, 2026  at 1:09 PM",Thursday at 12:49 PM,2023_BMW_5Series_520i_Thursday_1249PM,2026-01-29 08:24:48.748522
2025 Land Rover Defender 110,Ref# 421813,Dubai,"6,131 km",GCC Specs,Automatic,4400 cc,"AED 738,400","AED 668,000",Ended,"Jan 29, 2026  at 1:11 PM",Thursday at 12:45 PM,2025_Land_Rover_Defender_110_Thursday_1245PM,2026-01-29 08:25:51.016892
2023 Nissan Patrol LE Titanium,Ref# 422710,Abu Dhabi,"27,721 km",GCC Specs,Automatic,5600 cc,"AED 240,350","AED 121,000",Ended,"Jan 29, 2026  at 1:04 PM",Thursday at 12:40 PM,2023_Nissan_Patrol_LE_Titanium_Thursday_1240PM,2026-01-29 08:26:25.777560
2023 Toyota Yaris Basic,Ref# 421403,Dubai,"39,499 km",GCC Specs,Automatic,1500 cc,"AED 44,690","AED 28,000",Ended,"Jan 29, 2026  at 12:38 PM",Thursday at 12:20 PM,2023_Toyota_Yaris_Basic_Thursday_1220PM,2026-01-29 08:26:55.112030
2019 Dodge Charger GT,Ref# 421579,Dubai,"149,719 km",GCC Specs,Automatic,3600 cc,"AED 69,875","AED 44,500",Ended,"Jan 29, 2026  at 1:05 PM",Thursday at 12:44 PM,2019_Dodge_Charger_GT_Thursday_1244PM,2026-01-29 08:27:28.557926
2016 Porsche Cayenne Gts,Ref# 423124,Dubai,"134,677 km",GCC Specs,Automatic,3600 cc,"AED 81,620","AED 68,000",Ended,"Jan 29, 2026  at 12:25 PM",Thursday at 12:10 PM,2016_Porsche_Cayenne_Gts_Thursday_1210PM,2026-01-29 08:28:26.965417
2024 MINI Countryman Cooper S,Ref# 398648,Abu Dhabi,"27,840 km",GCC Specs,Automatic,2000 cc,"AED 135,850","AED 94,000",Ended,"Jan 29, 2026  at 12:33 PM",Thursday at 12:15 PM,2024_MINI_Countryman_Cooper_S_Thursday_1215PM,2026-01-29 08:28:49.204786
2017 Nissan Pathfinder Sv,Ref# 421363,Dubai,"105,789 km",GCC Specs,Automatic,3500 cc,"AED 43,600","AED 27,000",Ended,"Jan 29, 2026  at 12:28 PM",Thursday at 12:10 PM,2017_Nissan_Pathfinder_Sv_Thursday_1210PM,2026-01-29 08:29:05.969816
2022 Infiniti QX80 Sensory Proactive,Ref# 422258,Abu Dhabi,"38,532 km",GCC Specs,Automatic,5600 cc,"AED 193,325","AED 153,500",Ended,"Jan 29, 2026  at 12:25 PM",Thursday at 12:06 PM,2022_Infiniti_QX80_Sensory_Proactive_Thursday_1206PM,2026-01-29 08:29:22.651943
2020 Kia Pegas STD,Ref# 421416,Dubai,"72,890 km",GCC Specs,Automatic,1400 cc,"AED 23,415","AED 16,000",Ended,"Jan 29, 2026  at 12:20 PM",Thursday at 12:05 PM,2020_Kia_Pegas_STD_Thursday_1205PM,2026-01-29 08:29:39.346218
2016 Honda CR-V Ex,Ref# 422731,Abu Dhabi,"149,412 km",GCC Specs,Automatic,2400 cc,"AED 49,050","AED 31,000",Ended,"Jan 29, 2026  at 12:23 PM",Thursday at 12:05 PM,2016_Honda_CRV_Ex_Thursday_1205PM,2026-01-29 08:30:22.585725
2025 Jeep Wrangler Unlimited Sport,Ref# 421907,Dubai,239 km,GCC Specs,Automatic,2000 cc,"AED 221,540","AED 160,000",Ended,"Jan 29, 2026  at 12:15 PM",Thursday at 12:01 PM,2025_Jeep_Wrangler_Unlimited_Sport_Thursday_1201PM,2026-01-29 08:30:44.775652
2025 Jetour X70 Plus Luxury,Ref# 276404,Fujairah,"37,882 km",GCC Specs,Automatic,1600 cc,"AED 106,011","AED 67,000",Ended,"Jan 29, 2026  at 12:17 PM",Thursday at 12:00 PM,2025_Jetour_X70_Plus_Luxury_Thursday_1200PM,2026-01-29 08:31:33.127251
2023 Fiat 500 Abarth,Ref# 420829,Dubai,"39,004 km",GCC Specs,Automatic,1400 cc,"AED 63,425","AED 28,500",,,Thursday at 1:55 PM,2023_Fiat_500_Abarth_Thursday_155PM,2026-01-29 08:33:31.966552
2020 Ford Escort Ambiente,Ref# 422920,Dubai,"122,558 km",GCC Specs,Automatic,1500 cc,"AED 25,645","AED 10,000",,,Thursday at 1:50 PM,2020_Ford_Escort_Ambiente_Thursday_150PM,2026-01-29 08:33:51.253867
2022 Tesla Model Y Performance,Ref# 422635,Dubai,"63,720 km",GCC Specs,Automatic,75 cc,"AED 132,500","AED 81,000",,,Thursday at 2:40 PM,2022_Tesla_Model_Y_Performance_Thursday_240PM,2026-01-29 09:31:07.902699
2017 Jeep Wrangler Sahara,Ref# 415930,Dubai,"137,425 km",GCC Specs,Automatic,3600 cc,"AED 62,350","AED 41,500",,,Thursday at 2:40 PM,2017_Jeep_Wrangler_Sahara_Thursday_240PM,2026-01-29 09:31:28.183738
2018 Cadillac Escalade Other,Ref# 422992,Dubai,"116,426 km",GCC Specs,Automatic,6200 cc,"AED 144,210","AED 60,000",Ended,"Jan 29, 2026  at 2:35 PM",Thursday at 2:16 PM,2018_Cadillac_Escalade_Other_Thursday_216PM,2026-01-29 09:32:15.318735
2018 Mitsubishi Pajero Gls,Ref# 418841,Dubai,"96,329 km",GCC Specs,Automatic,3800 cc,"AED 68,800","AED 44,000",Ended,"Jan 29, 2026  at 2:34 PM",Thursday at 2:15 PM,2018_Mitsubishi_Pajero_Gls_Thursday_215PM,2026-01-29 09:32:56.027294
2015 Mazda CX-9 GTX,Ref# 422366,Dubai,"272,168 km",GCC Specs,Automatic,3700 cc,"AED 22,300","AED 11,000",Ended,"Jan 29, 2026  at 2:25 PM",Thursday at 2:10 PM,2015_Mazda_CX9_GTX_Thursday_210PM,2026-01-29 09:33:27.827329
2011 Mercedes-Benz M-Class Ml 350,Ref# 422846,Abu Dhabi,"243,093 km",GCC Specs,Automatic,3500 cc,"AED 22,300","AED 12,000",Ended,"Jan 29, 2026  at 2:25 PM",Thursday at 2:10 PM,2011_MercedesBenz_MClass_Ml_350_Thursday_210PM,2026-01-29 09:33:50.630375
2023 Toyota Raize TURBO G,Ref# 420736,Dubai,"30,534 km",GCC Specs,Automatic,1000 cc,"AED 58,050","AED 42,500",Ended,"Jan 29, 2026  at 2:15 PM",Thursday at 2:01 PM,2023_Toyota_Raize_TURBO_G_Thursday_201PM,2026-01-29 09:34:07.592245
2022 BMW 3-Series 330i,Ref# 420333,Dubai,"68,104 km",GCC Specs,Automatic,2000 cc,"AED 146,300","AED 113,000",Ended,"Jan 29, 2026  at 2:54 PM",Thursday at 2:33 PM,2022_BMW_3Series_330i_Thursday_233PM,2026-01-29 09:36:42.117215
2020 Porsche Cayenne Coupe,Ref# 422954,Dubai,"42,786 km",GCC Specs,Automatic,3000 cc,"AED 292,600","AED 212,000",Ended,"Jan 29, 2026  at 2:46 PM",Thursday at 2:30 PM,2020_Porsche_Cayenne_Coupe_Thursday_230PM,2026-01-29 09:36:59.864278
2022 Hyundai Creta Gl,Ref# 411172,Dubai,"146,080 km",GCC Specs,Automatic,1500 cc,"AED 49,050","AED 32,500",,,Thursday at 3:15 PM,2022_Hyundai_Creta_Gl_Thursday_315PM,2026-01-29 09:49:30.383984
2014 Mercedes-Benz S-Class S 550,Ref# 421398,Abu Dhabi,"235,531 km",GCC Specs,Automatic,4700 cc,"AED 127,200","AED 39,500",,,Thursday at 3:10 PM,2014_MercedesBenz_SClass_S_550_Thursday_310PM,2026-01-29 09:49:52.238225
2020 Nissan Pathfinder Sv,Ref# 421768,Dubai,"78,555 km",GCC Specs,Automatic,3500 cc,"AED 53,213","AED 19,000",,,Thursday at 4:10 PM,2020_Nissan_Pathfinder_Sv_Thursday_410PM,2026-01-29 10:50:35.883120
2017 Toyota Prado Vxr,Ref# 420682,Dubai,"116,752 km",GCC Specs,Automatic,4000 cc,"AED 116,600","AED 86,000",Ended,"Jan 29, 2026  at 4:15 PM",Thursday at 4:00 PM,2017_Toyota_Prado_Vxr_Thursday_400PM,2026-01-29 10:50:55.294602
2020 MINI Cooper S,Ref# 404291,Abu Dhabi,"68,983 km",GCC Specs,Automatic,2000 cc,"AED 90,100","AED 43,000",Ended,"Jan 29, 2026  at 4:15 PM",Thursday at 4:00 PM,2020_MINI_Cooper_S_Thursday_400PM,2026-01-29 10:51:12.608654
2013 Honda Accord Other,Ref# 422319,Abu Dhabi,"203,482 km",GCC Specs,Automatic,3500 cc,"AED 25,645","AED 7,000",Ended,"Jan 29, 2026  at 4:15 PM",Thursday at 4:00 PM,2013_Honda_Accord_Other_Thursday_400PM,2026-01-29 10:51:29.828756
2015 Nissan Pathfinder S,Ref# 423192,Dubai,"127,295 km",GCC Specs,Automatic,3500 cc,"AED 28,990","AED 16,500",Ended,"Jan 29, 2026  at 4:10 PM",Thursday at 3:55 PM,2015_Nissan_Pathfinder_S_Thursday_355PM,2026-01-29 10:51:46.811120
2018 Volkswagen Golf Gti,Ref# 422491,Dubai,"168,237 km",GCC Specs,Automatic,2000 cc,"AED 64,500","AED 35,500",Ended,"Jan 29, 2026  at 4:07 PM",Thursday at 3:50 PM,2018_Volkswagen_Golf_Gti_Thursday_350PM,2026-01-29 10:52:10.163594
2014 Infiniti G25 Standard,Ref# 405297,Dubai,"178,023 km",GCC Specs,Automatic,2500 cc,"AED 12,600","AED 4,000",Ended,"Jan 29, 2026  at 4:00 PM",Thursday at 3:45 PM,2014_Infiniti_G25_Standard_Thursday_345PM,2026-01-29 10:52:27.264854
2021 Mercedes-Benz GLC GLC 200,Ref# 423135,Dubai,"156,720 km",GCC Specs,Automatic,2000 cc,"AED 121,900","AED 86,000",Ended,"Jan 29, 2026  at 3:54 PM",Thursday at 3:35 PM,2021_MercedesBenz_GLC_GLC_200_Thursday_335PM,2026-01-29 10:52:44.383856
2017 Land Rover Range Rover Hse,Ref# 421431,Dubai,"113,594 km",GCC Specs,Automatic,3000 cc,"AED 107,060","AED 65,000",Ended,"Jan 29, 2026  at 3:41 PM",Thursday at 3:25 PM,2017_Land_Rover_Range_Rover_Hse_Thursday_325PM,2026-01-29 10:53:06.965616
2020 Nissan Patrol SE,Ref# 423152,Abu Dhabi,"99,716 km",GCC Specs,Automatic,4000 cc,"AED 79,500","AED 46,000",,,Thursday at 4:55 PM,2020_Nissan_Patrol_SE_Thursday_455PM,2026-01-29 11:30:02.937646
2017 Lexus LX-Series LX 570 Platinum,Ref# 416310,Fujairah,"197,433 km",GCC Specs,Automatic,5700 cc,"AED 209,000","AED 146,000",,,Thursday at 4:52 PM,2017_Lexus_LXSeries_LX_570_Platinum_Thursday_452PM,2026-01-29 11:30:22.647289
2014 Dodge Charger Sxt Plus,Ref# 422016,Abu Dhabi,"189,184 km",GCC Specs,Automatic,3600 cc,"AED 20,070","AED 7,500",,,Thursday at 4:51 PM,2014_Dodge_Charger_Sxt_Plus_Thursday_451PM,2026-01-29 11:30:43.463640
2022 Hyundai Accent Smart,Ref# 423175,Dubai,"25,796 km",GCC Specs,Automatic,1600 cc,"AED 41,419","AED 28,000",,,Thursday at 4:49 PM,2022_Hyundai_Accent_Smart_Thursday_449PM,2026-01-29 11:31:24.006911
2019 Hyundai Elantra Gl,Ref# 422767,Dubai,"205,758 km",GCC Specs,Automatic,1600 cc,"AED 30,105","AED 13,500",,,Thursday at 4:50 PM,2019_Hyundai_Elantra_Gl_Thursday_450PM,2026-01-29 11:32:03.666418
2022 Mercedes-Benz CLA Cla250,Ref# 421056,Dubai,"64,025 km",GCC Specs,Automatic,2000 cc,"AED 167,200","AED 93,000",,,Thursday at 4:49 PM,2022_MercedesBenz_CLA_Cla250_Thursday_449PM,2026-01-29 11:32:24.224007
2025 MINI Cooper S,Ref# 416659,Dubai,"4,537 km",GCC Specs,Automatic,2000 cc,"AED 151,525","AED 112,000",Ended,"Jan 29, 2026  at 5:01 PM",Thursday at 4:40 PM,2025_MINI_Cooper_S_Thursday_440PM,2026-01-29 11:32:42.260835
2020 Mitsubishi Pajero Gls,Ref# 420113,Dubai,"168,321 km",GCC Specs,Automatic,3800 cc,,,,,Thursday at 4:34 PM,2020_Mitsubishi_Pajero_Gls_Thursday_434PM,2026-01-29 11:32:59.956873
2018 Mercedes-Benz GLA 220,Ref# 389291,Dubai,"85,153 km",,Automatic,2000 cc,"AED 52,675","AED 23,000",,,Thursday at 5:00 PM,2018_MercedesBenz_GLA_220_Thursday_500PM,2026-01-29 11:34:27.590287
2015 Audi TT 2.0 TFSI,Ref# 422267,Dubai,"111,222 km",GCC Specs,Automatic,2000 cc,"AED 49,050","AED 17,000",,,Thursday at 5:35 PM,2015_Audi_TT_20_TFSI_Thursday_535PM,2026-01-29 12:06:30.301352
2011 Mercedes-Benz S-Class S 350,Ref# 421484,Dubai,"167,490 km",GCC Specs,Automatic,3500 cc,"AED 40,330","AED 17,000",,,Thursday at 5:27 PM,2011_MercedesBenz_SClass_S_350_Thursday_527PM,2026-01-29 12:06:51.090546
2025 Toyota Camry GLE,Ref# 422817,Dubai,"54,464 km",GCC Specs,Automatic,2500 cc,"AED 121,900","AED 95,000",,,Thursday at 5:22 PM,2025_Toyota_Camry_GLE_Thursday_522PM,2026-01-29 12:07:10.794007
2023 Tesla Model Y Performance,Ref# 422696,Abu Dhabi,"65,688 km",GCC Specs,Automatic,75 cc,"AED 101,760","AED 59,000",,,Thursday at 5:21 PM,2023_Tesla_Model_Y_Performance_Thursday_521PM,2026-01-29 12:07:30.899285
2023 Tesla Model Y Long Range,Ref# 421770,Dubai,"58,096 km",GCC Specs,Automatic,75 cc,"AED 127,200","AED 71,000",,,Thursday at 5:19 PM,2023_Tesla_Model_Y_Long_Range_Thursday_519PM,2026-01-29 12:07:51.574528
2024 Genesis GV70 Premium,Ref# 418330,Dubai,"2,633 km",GCC Specs,Automatic,2500 cc,"AED 188,100","AED 157,500",Ended,"Jan 29, 2026  at 5:34 PM",Thursday at 5:15 PM,2024_Genesis_GV70_Premium_Thursday_515PM,2026-01-29 12:08:15.391993
2016 Porsche Cayenne Standard,Ref# 420731,Dubai,"85,791 km",GCC Specs,Automatic,3600 cc,,,Ended,"Jan 29, 2026  at 5:10 PM",Thursday at 5:10 PM,2016_Porsche_Cayenne_Standard_Thursday_510PM,2026-01-29 12:09:01.819488
2022 Tesla Model Y Long Range,Ref# 423216,Abu Dhabi,"92,348 km",GCC Specs,Automatic,75 cc,"AED 143,165","AED 64,000",,,Thursday at 5:36 PM,2022_Tesla_Model_Y_Long_Range_Thursday_536PM,2026-01-29 12:10:34.570566
2019 Mercedes-Benz CLS-Class Cls 350,Ref# 421409,Dubai,"145,822 km",GCC Specs,Automatic,2000 cc,"AED 116,600","AED 76,000",Ended,"Jan 29, 2026  at 8:35 PM",Thursday at 8:14 PM,2019_MercedesBenz_CLSClass_Cls_350_Thursday_814PM,2026-01-29 16:41:46.516764
2021 Volkswagen Golf Gti,Ref# 422723,Abu Dhabi,"111,109 km",GCC Specs,Automatic,2000 cc,"AED 64,500","AED 39,500",Ended,"Jan 29, 2026  at 8:21 PM",Thursday at 8:00 PM,2021_Volkswagen_Golf_Gti_Thursday_800PM,2026-01-29 16:42:04.279790
2024 Subaru BRZ AT,Ref# 423191,Dubai,"26,730 km",GCC Specs,Automatic,2400 cc,"AED 111,300","AED 78,000",Ended,"Jan 29, 2026  at 7:57 PM",Thursday at 7:40 PM,2024_Subaru_BRZ_AT_Thursday_740PM,2026-01-29 16:42:21.810942
2022 Nissan Xterra Se,Ref# 422735,Dubai,"77,329 km",GCC Specs,Automatic,2500 cc,"AED 74,200","AED 49,000",Ended,"Jan 29, 2026  at 7:32 PM",Thursday at 7:16 PM,2022_Nissan_Xterra_Se_Thursday_716PM,2026-01-29 16:42:39.302375
2014 Land Rover Range Rover Sport Hse,Ref# 423220,Dubai,"87,590 km",GCC Specs,Automatic,3000 cc,"AED 64,500","AED 45,500",Ended,"Jan 29, 2026  at 7:34 PM",Thursday at 7:15 PM,2014_Land_Rover_Range_Rover_Sport_Hse_Thursday_715PM,2026-01-29 16:42:56.577442
2021 Cadillac CT4 Premium Luxury,Ref# 421754,Dubai,"101,611 km",GCC Specs,Automatic,2700 cc,"AED 95,400","AED 59,000",Ended,"Jan 29, 2026  at 7:30 PM",Thursday at 7:10 PM,2021_Cadillac_CT4_Premium_Luxury_Thursday_710PM,2026-01-29 16:43:19.768300
2025 Hyundai Staria Luxury,Ref# 422904,Dubai,"11,828 km",GCC Specs,Automatic,3500 cc,"AED 143,165","AED 78,000",Ended,"Jan 29, 2026  at 7:20 PM",Thursday at 7:06 PM,2025_Hyundai_Staria_Luxury_Thursday_706PM,2026-01-29 16:43:36.965399
2016 Nissan Sentra S,Ref# 414091,Dubai,"156,585 km",GCC Specs,Automatic,1600 cc,"AED 22,300","AED 6,000",Ended,"Jan 29, 2026  at 7:20 PM",Thursday at 7:05 PM,2016_Nissan_Sentra_S_Thursday_705PM,2026-01-29 16:43:54.377589
2019 Kia Stinger GT-Line,Ref# 422050,Dubai,"131,539 km",GCC Specs,Automatic,2000 cc,"AED 62,888","AED 39,500",Ended,"Jan 29, 2026  at 7:25 PM",Thursday at 7:05 PM,2019_Kia_Stinger_GTLine_Thursday_705PM,2026-01-29 16:44:17.379092
2014 Dodge Charger R/T,Ref# 423173,Dubai,"225,550 km",GCC Specs,Automatic,5700 cc,"AED 25,645","AED 13,000",Ended,"Jan 29, 2026  at 7:17 PM",Thursday at 6:57 PM,2014_Dodge_Charger_RT_Thursday_657PM,2026-01-29 16:44:34.431103
2019 Peugeot 3008 Gt Line,Ref# 421164,Abu Dhabi,"142,129 km",GCC Specs,Automatic,1600 cc,"AED 45,671","AED 18,500",Ended,"Jan 29, 2026  at 7:11 PM",Thursday at 6:51 PM,2019_Peugeot_3008_Gt_Line_Thursday_651PM,2026-01-29 16:44:51.731879
2012 Renault Safrane Le,Ref# 419214,Dubai,"270,316 km",GCC Specs,Automatic,2000 cc,"AED 10,400","AED 2,250",Ended,"Jan 29, 2026  at 6:55 PM",Thursday at 6:40 PM,2012_Renault_Safrane_Le_Thursday_640PM,2026-01-29 16:45:14.558118
2018 Mercedes-Benz GLA 250 4Matic,Ref# 422339,Abu Dhabi,"159,847 km",GCC Specs,Automatic,2000 cc,"AED 53,750","AED 38,000",Ended,"Jan 29, 2026  at 6:53 PM",Thursday at 6:30 PM,2018_MercedesBenz_GLA_250_4Matic_Thursday_630PM,2026-01-29 16:45:31.728237
2019 Lexus UX-Series UX 200 F Sport,Ref# 420392,Dubai,"106,102 km",GCC Specs,Automatic,2000 cc,"AED 84,800","AED 65,000",Ended,"Jan 29, 2026  at 6:45 PM",Thursday at 6:30 PM,2019_Lexus_UXSeries_UX_200_F_Sport_Thursday_630PM,2026-01-29 16:45:48.941031
2024 Subaru BRZ MT,Ref# 421384,Dubai,"6,911 km",GCC Specs,Manual,2400 cc,"AED 111,300","AED 76,000",Ended,"Jan 29, 2026  at 6:56 PM",Thursday at 6:25 PM,2024_Subaru_BRZ_MT_Thursday_625PM,2026-01-29 16:46:11.546727
2023 Suzuki Vitara Glx,Ref# 421314,Dubai,"45,178 km",GCC Specs,Automatic,1600 cc,"AED 60,200","AED 42,500",Ended,"Jan 29, 2026  at 6:45 PM",Thursday at 6:21 PM,2023_Suzuki_Vitara_Glx_Thursday_621PM,2026-01-29 16:46:28.661056
2016 Honda CR-V Ex,Ref# 421655,Dubai,"270,805 km",GCC Specs,Automatic,2400 cc,"AED 38,150","AED 16,000",Ended,"Jan 29, 2026  at 6:25 PM",Thursday at 6:15 PM,2016_Honda_CRV_Ex_Thursday_615PM,2026-01-29 16:46:45.944058
2015 MINI Cooper Cooper S,Ref# 421515,Dubai,"146,161 km",GCC Specs,Automatic,2000 cc,"AED 33,450","AED 11,500",Ended,"Jan 29, 2026  at 6:25 PM",Thursday at 6:11 PM,2015_MINI_Cooper_Cooper_S_Thursday_611PM,2026-01-29 16:47:09.423326
2019 Jaguar F-Pace R-Sport,Ref# 419617,Dubai,"123,237 km",GCC Specs,Automatic,2000 cc,"AED 79,500","AED 42,500",Ended,"Jan 29, 2026  at 6:32 PM",Thursday at 6:10 PM,2019_Jaguar_FPace_RSport_Thursday_610PM,2026-01-29 16:47:26.504628
2011 Jeep Wrangler Sahara,Ref# 423179,Dubai,"293,624 km",GCC Specs,Automatic,3800 cc,"AED 28,990","AED 14,500",Ended,"Jan 29, 2026  at 6:26 PM",Thursday at 6:10 PM,2011_Jeep_Wrangler_Sahara_Thursday_610PM,2026-01-29 16:47:43.527473
2019 Nissan X-Trail S,Ref# 422453,Abu Dhabi,"104,562 km",GCC Specs,Automatic,2500 cc,"AED 45,780","AED 26,000",Ended,"Jan 29, 2026  at 6:15 PM",Thursday at 6:00 PM,2019_Nissan_XTrail_S_Thursday_600PM,2026-01-29 16:48:06.393653
2015 Mercedes-Benz GL-Class Gl 500 4matic,Ref# 423209,Dubai,"180,663 km",GCC Specs,Automatic,4700 cc,"AED 53,750","AED 30,000",Ended,"Jan 29, 2026  at 6:11 PM",Thursday at 5:55 PM,2015_MercedesBenz_GLClass_Gl_500_4matic_Thursday_555PM,2026-01-29 16:48:23.477763
2019 Lexus ES HYBRID 300h,Ref# 411595,Abu Dhabi,"179,368 km",GCC Specs,Automatic,2500 cc,"AED 90,100","AED 42,000",Ended,"Jan 29, 2026  at 6:10 PM",Thursday at 5:55 PM,2019_Lexus_ES_HYBRID_300h_Thursday_555PM,2026-01-29 16:48:40.655199
